PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user43,50,marvalshot,4401,4630248026_43
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user43,50,marvalshot,3469,4630248027_43
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user44,50,marvalshot,1351,4630248018_44
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user44,51,marvalshot,802,4630248019_44
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user44,50,marvalshot,2992,4630248020_44
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user44,50,marvalshot,491,4630248021_44
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user44,50,marvalshot,5166,4630248022_44
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user44,50,marvalshot,2411,4630248023_44
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user44,86,marvalshot,522,4630248024_44
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user44,50,marvalshot,5295,4630248025_44
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user44,50,marvalshot,4401,4630248026_44
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user44,50,marvalshot,3469,4630248027_44
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user45,50,marvalshot,1351,4630248018_45
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user45,51,marvalshot,802,4630248019_45
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user45,50,marvalshot,2992,4630248020_45
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user45,50,marvalshot,491,4630248021_45
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user45,50,marvalshot,5166,4630248022_45
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user45,50,marvalshot,2411,4630248023_45
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user45,86,marvalshot,522,4630248024_45
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user45,50,marvalshot,5295,4630248025_45
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user45,50,marvalshot,4401,4630248026_45
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user45,50,marvalshot,3469,4630248027_45
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user46,50,marvalshot,1351,4630248018_46
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user46,51,marvalshot,802,4630248019_46
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user46,50,marvalshot,2992,4630248020_46
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user46,50,marvalshot,491,4630248021_46
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user46,50,marvalshot,5166,4630248022_46
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user46,50,marvalshot,2411,4630248023_46
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user46,86,marvalshot,522,4630248024_46
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user46,50,marvalshot,5295,4630248025_46
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user46,50,marvalshot,4401,4630248026_46
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user46,50,marvalshot,3469,4630248027_46
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user47,50,marvalshot,1351,4630248018_47
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user47,51,marvalshot,802,4630248019_47
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user47,50,marvalshot,2992,4630248020_47
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user47,50,marvalshot,491,4630248021_47
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user47,50,marvalshot,5166,4630248022_47
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user47,50,marvalshot,2411,4630248023_47
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user47,86,marvalshot,522,4630248024_47
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user47,50,marvalshot,5295,4630248025_47
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user47,50,marvalshot,4401,4630248026_47
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user47,50,marvalshot,3469,4630248027_47
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user48,50,marvalshot,1351,4630248018_48
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user48,51,marvalshot,802,4630248019_48
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user48,50,marvalshot,2992,4630248020_48
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user48,50,marvalshot,491,4630248021_48
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user48,50,marvalshot,5166,4630248022_48
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user48,50,marvalshot,2411,4630248023_48
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user48,86,marvalshot,522,4630248024_48
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user48,50,marvalshot,5295,4630248025_48
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user48,50,marvalshot,4401,4630248026_48
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user48,50,marvalshot,3469,4630248027_48
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user49,50,marvalshot,1351,4630248018_49
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user49,51,marvalshot,802,4630248019_49
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user49,50,marvalshot,2992,4630248020_49
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user49,50,marvalshot,491,4630248021_49
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user49,50,marvalshot,5166,4630248022_49
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user49,50,marvalshot,2411,4630248023_49
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user49,86,marvalshot,522,4630248024_49
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user49,50,marvalshot,5295,4630248025_49
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user49,50,marvalshot,4401,4630248026_49
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user49,50,marvalshot,3469,4630248027_49
